zcta,total_pop,under18,over65,median_age
80129,30223.0,6260.0,6953.0,41.2
80130,24719.0,6028.0,4983.0,40.7
80131,276.0,60.0,45.0,35.8
80132,30073.0,7590.0,7641.0,43.0
80133,2425.0,278.0,718.0,49.2
80134,80302.0,19989.0,13056.0,37.5
80135,4141.0,548.0,1727.0,54.9
80136,6144.0,1850.0,1121.0,34.4
80137,1689.0,352.0,378.0,36.7
80138,36895.0,8910.0,7531.0,40.2
80202,18589.0,384.0,2815.0,34.0
80203,22441.0,534.0,2856.0,33.2
80204,35318.0,5493.0,4414.0,32.7
80205,34571.0,5340.0,3499.0,33.1
80206,24383.0,2742.0,5265.0,37.2
80207,21542.0,5081.0,4850.0,38.5
80209,27564.0,3338.0,6408.0,38.0
80210,39113.0,5960.0,7465.0,35.7
80211,38177.0,4409.0,4394.0,34.0
80212,20746.0,3301.0,4029.0,38.1
80214,27022.0,3697.0,5103.0,35.0
80215,19839.0,3384.0,5604.0,39.1
80216,17330.0,3227.0,1506.0,29.8
80218,19149.0,915.0,3897.0,36.7
80219,59523.0,15065.0,10115.0,34.7
80220,37203.0,7972.0,6722.0,37.7
80221,39718.0,8809.0,6555.0,34.9
80222,23838.0,3963.0,4869.0,37.9
80223,19246.0,3008.0,3426.0,34.6
80224,19352.0,4102.0,4588.0,37.7
80226,31573.0,5201.0,7267.0,37.8
80227,34907.0,5768.0,10036.0,40.6
80228,34942.0,6018.0,7584.0,39.4
80229,55092.0,13182.0,7193.0,33.4
80230,10449.0,1702.0,2825.0,45.7
80231,35883.0,7634.0,6123.0,33.3
80232,23050.0,3973.0,5578.0,39.1
80233,48441.0,10124.0,8823.0,34.4
80234,29356.0,5356.0,5755.0,36.8
80235,8373.0,1534.0,2098.0,36.6
80236,16863.0,3698.0,3144.0,36.6
80237,23384.0,3700.0,4949.0,35.3
80238,30575.0,9992.0,2961.0,36.0
80239,44956.0,11621.0,5466.0,32.5
80241,34082.0,8357.0,5961.0,35.9
80246,13097.0,1531.0,1604.0,32.5
80247,29760.0,5275.0,6577.0,34.9
80249,41590.0,11657.0,5061.0,32.9
80260,34677.0,9705.0,5221.0,32.4
80264,0.0,0.0,0.0,
80266,0.0,0.0,0.0,
80290,474.0,0.0,0.0,35.5
80293,0.0,0.0,0.0,
80294,0.0,0.0,0.0,
80301,25007.0,3769.0,5343.0,36.9
80302,29569.0,2165.0,5009.0,24.9
80303,24996.0,2707.0,5119.0,29.3
80304,25383.0,4523.0,5894.0,42.8
80305,16291.0,2857.0,3536.0,36.7
80310,7692.0,60.0,0.0,19.3
80401,43811.0,7279.0,9662.0,38.8
80403,20732.0,4418.0,5800.0,45.6
80419,0.0,0.0,0.0,
80420,1246.0,58.0,415.0,57.2
80421,8536.0,1317.0,2795.0,48.7
80422,4363.0,508.0,1780.0,51.8
80423,83.0,0.0,34.0,47.1
80424,9764.0,1266.0,2090.0,40.9
80425,243.0,99.0,98.0,40.6
80426,102.0,0.0,102.0,67.5
80427,567.0,169.0,136.0,35.9
80428,720.0,199.0,115.0,40.0
80430,148.0,19.0,50.0,53.0
80432,293.0,9.0,86.0,53.5
80433,8292.0,1506.0,2303.0,49.1
80434,32.0,0.0,0.0,50.5
80435,8715.0,1706.0,1571.0,35.6
80436,348.0,14.0,168.0,59.5
80438,970.0,182.0,269.0,44.8
80439,24610.0,4998.0,7869.0,49.0
80440,3502.0,833.0,383.0,38.3
80442,2614.0,455.0,496.0,37.6
80443,3992.0,451.0,1306.0,44.1
80444,1053.0,106.0,322.0,43.9
80446,4017.0,578.0,1127.0,41.0
80447,1857.0,46.0,909.0,57.0
80448,0.0,0.0,0.0,
80449,916.0,0.0,587.0,65.2
80451,1265.0,376.0,174.0,40.2
80452,3135.0,517.0,1079.0,47.4
80453,297.0,32.0,60.0,35.7
80454,986.0,250.0,339.0,49.3
80455,501.0,98.0,139.0,48.5
80456,507.0,12.0,273.0,62.8
80457,283.0,41.0,36.0,55.1
80459,2569.0,915.0,522.0,32.1
80461,6957.0,1320.0,1307.0,36.4
80463,100.0,0.0,67.0,65.9
80465,16582.0,3125.0,4431.0,44.4
80466,3599.0,642.0,814.0,43.6
80467,2260.0,372.0,483.0,42.0
80468,382.0,42.0,84.0,48.2
80469,402.0,74.0,27.0,37.4
80470,3608.0,420.0,1222.0,55.1
80471,0.0,0.0,0.0,
80473,62.0,0.0,4.0,33.9
80474,264.0,70.0,22.0,38.0
80475,39.0,0.0,6.0,55.3
80476,159.0,5.0,58.0,54.4
80478,1396.0,61.0,685.0,58.7
80479,32.0,0.0,0.0,
80480,1130.0,213.0,477.0,55.2
80481,484.0,69.0,161.0,47.4
80482,1447.0,62.0,797.0,63.1
80483,455.0,29.0,191.0,53.5
80487,18525.0,3140.0,5197.0,44.5
80498,8881.0,1623.0,2140.0,39.5
80501,44147.0,8563.0,10309.0,38.4
80503,35846.0,6792.0,10541.0,44.8
80504,63451.0,13484.0,14364.0,39.5
80510,663.0,79.0,283.0,54.8
80512,1903.0,229.0,672.0,51.9
80513,18271.0,3928.0,4458.0,42.3
80514,6721.0,1789.0,1073.0,33.7
80515,934.0,39.0,397.0,53.9
80516,39048.0,11028.0,6222.0,37.7
80517,9657.0,1161.0,4421.0,55.8
80520,1140.0,175.0,318.0,41.4
80521,38776.0,3765.0,3739.0,22.9
80524,40030.0,7110.0,9851.0,35.9
80525,54211.0,9052.0,12342.0,37.9
80526,44326.0,7907.0,8831.0,34.1
80528,24960.0,6891.0,4314.0,35.7
